asset,mean,mean_se,omega,omega_se,alpha,alpha_se,beta,beta_se,log_likelihood,aic,bic,nobs,dist,Arch(1),Arch(1) p-value,Arch(5),Arch(5) p-value,Arch(10),Arch(10) p-value,Q(2),Q(2) p-value,Q(4),Q(4) p-value,Q(8),Q(8) p-value
NASDAQ,0.09482060564194653,0.023170922875067484,0.04399491405597585,0.011718469515069437,0.10348133065549989,0.02052843888137634,0.8602576265609035,0.02410531535975635,-2368.81897085924,4745.63794171848,4767.235534051805,1635,normal,1.7401485937284826,0.18712000003633977,8.185071471929694,0.14632661041673659,10.49269610015298,0.39838054796312244,0.03770479569114126,0.9813241971192617,3.7752674129302153,0.43727354158932275,4.959775410577849,0.7618666234452722
S&P 500,0.07362577957868395,0.019625664726554318,0.0343682966162745,0.008224666708628434,0.12523432288724942,0.022874476922393586,0.8410426364065152,0.023353412662621677,-2161.9705779699048,4331.9411559398095,4353.538748273135,1635,normal,4.221880025620597,0.03990592189125358,16.26237944231687,0.006133557633171993,18.804658989050342,0.042815116356017695,1.0373656291083864,0.5953041577496169,2.6393310711046647,0.6198718437258135,7.459760985493101,0.48793438043832116
