,EFV,uc,ind,cc
Historical,0.036,0.1313472743388444,0.15538813213612057,0.11677270253065763
Variance-Covariance,0.04,0.2884790856989422,0.04401210035870751,0.07491496026502231
RiskMetrics,0.072,0.03367694525655518,0.7919148559143389,0.10123436184353352
CCC-GARCH,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Student,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Gaussian,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Plackett,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Clayton,0.07,0.05233347958680612,0.7480386799661329,0.14454978958709952
Copula-GARCH Rotated Clayton,0.076,0.01291244695931626,0.5502299173370317,0.038044998031322
Copula-GARCH SJC,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Frank,0.07,0.05233347958680612,0.7480386799661329,0.14454978958709952
Copula-GARCH Gumbel,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-GARCH Rotated Gumbel,0.07,0.05233347958680612,0.7480386799661329,0.14454978958709952
Copula-MSM Student,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-MSM Gaussian,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-MSM Plackett,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
Copula-MSM Clayton,0.072,0.03367694525655518,0.6789512766606616,0.09621503615593396
