,count,Mean,Std,Skewness,Kurtosis,Hurst,Tail index,Arch(1),Arch(1) p-value,Arch(5),Arch(5) p-value,Arch(10),Arch(10) p-value,JB,JB p-value,ADF,ADF p-value
NASDAQ,1635.0,0.06666781606711203,1.139080165262261,-0.39316973452222265,6.025141506912529,-0.0038729265830244695,3.852579042308736,60.57799421061273,7.072018397383563e-15,243.08491870334905,1.6733434617095478e-50,289.39320981462544,2.708777245488601e-56,660.1809478264968,4.400769789998234e-144,24.79976397458889,0.0
S&P 500,1635.0,0.052717896639002546,1.035470754355283,-0.4290813328604198,6.742165824547332,-0.004462189703677018,3.6152152821458756,70.10671383434888,5.618142847584452e-17,304.89874325796745,8.859261178946951e-64,342.6790846336177,1.4242923675903779e-67,996.4030459196222,4.303558419502904e-217,20.273254982038992,0.0
