,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian
Juc(1),0.3076199458583415,0.62110229677635,0.05003454559182041,0.0500345455918203,0.0500345455918203,0.0500345455918203,0.0500345455918203,0.06993606978688638,0.02487693615618458,0.0500345455918203,0.06993606978688638,0.0500345455918203,0.06993606978688638,0.05003454559182041,0.05003454559182041
Jcc(2),0.5891978773471132,0.8827632743981702,0.12047914745228105,0.1418678035165185,0.1418678035165185,0.1418678035165185,0.1418678035165185,0.17802076833171232,0.07122398312241329,0.1418678035165185,0.17802076833171232,0.1418678035165185,0.17802076833171232,0.14186780351651862,0.14186780351651862
Jcc(3),0.5599924113254355,0.7889399429528836,0.22999297547809505,0.26369393626483517,0.26369393626483517,0.26369393626483517,0.26369393626483517,0.3269596856373399,0.15091703356915553,0.26369393626483517,0.3269596856373399,0.26369393626483517,0.3269596856373399,0.2625668376289968,0.2625668376289968
Jcc(4),0.47733342964289593,0.7359064498890859,0.36020042948669784,0.39972477779587234,0.39972477779587234,0.39972477779587234,0.39972477779587234,0.48508620364257715,0.25134783551510775,0.39972477779587234,0.48508620364257715,0.39972477779587234,0.48508620364257715,0.3941861294959744,0.3941861294959744
Jind(2),0.8827898797673152,0.9472598342021067,0.9645091086305726,0.405945993120599,0.405945993120599,0.405945993120599,0.405945993120599,0.7599939216634278,0.44154350736311976,0.405945993120599,0.7599939216634278,0.405945993120599,0.7599939216634278,0.40594599312059887,0.40594599312059887
Jind(3),0.9642292225902908,0.8948298316550988,0.9669488197163094,0.663467709356733,0.663467709356733,0.663467709356733,0.663467709356733,0.9540902038879452,0.6956942740484802,0.663467709356733,0.9540902038879452,0.663467709356733,0.9540902038879452,0.6488766518219882,0.6488766518219882
Jind(4),0.9177401967674206,0.8478632129333463,0.9891777134778963,0.8335036293336126,0.8335036293336126,0.8335036293336126,0.8335036293336126,0.9916883471075522,0.8666151970060991,0.8335036293336126,0.9916883471075522,0.8335036293336126,0.9916883471075522,0.8325709343740975,0.8325709343740975
