,Mean,Std,Skewness,Kurtosis,Hurst,Tail index,Arch(1),Arch(5),Arch(10),JB,ADF
NASDAQ,0.067,1.139,-0.393,6.025,-0.004,3.853,"60.578
(0.000)","243.085
(0.000)","289.393
(0.000)","660.181
(0.000)","24.800
(0.000)"
S&P 500,0.053,1.035,-0.429,6.742,-0.004,3.615,"70.107
(0.000)","304.899
(0.000)","342.679
(0.000)","996.403
(0.000)","20.273
(0.000)"
