,r_NASDAQ,r_SP500
2009-04-16,2.6472169728693955,1.5419309485732728
2009-04-17,0.15731973539342695,0.4957054226539451
2009-04-20,-3.9538502888908327,-4.373220914165703
2009-04-21,2.1919292350721515,2.1029384216146014
2009-04-22,0.1379952011856663,-0.7711320225478271
2009-04-23,0.3692782056733523,0.9873443065781582
2009-04-24,2.5149988358064217,1.6657834020331603
2009-04-27,-0.8821232764867983,-1.0117587499046197
2009-04-28,-0.3340076228928305,-0.27442976398493146
2009-04-29,2.252476534819567,2.1379853727164115
2009-04-30,0.3126059631251709,-0.09505192207446081
2009-05-01,0.11057763384844489,0.5381880325807842
2009-05-04,2.547542701824854,3.3307243587725845
2009-05-05,-0.5367186703312625,-0.3798929477293887
2009-05-06,0.2835007961623141,1.725461832941929
2009-05-07,-2.46664631966095,-1.3290338985760735
2009-05-08,1.3174383946032904,2.3783902379113706
2009-05-11,-0.44723206086017187,-2.1747190202753868
2009-05-12,-0.8888534831141841,-0.09793349834762966
2009-05-13,-3.061086135942523,-2.726319853661259
2009-05-14,1.4922445449263568,1.029843199277203
2009-05-15,-0.538384074576919,-1.1475676904067544
2009-05-18,3.060751745949268,2.9936594996533383
2009-05-19,0.12576078267731866,-0.17383460198724435
2009-05-20,-0.3870175060424918,-0.514467268804702
2009-05-21,-1.904185092049807,-1.6899558030336284
2009-05-22,-0.19130512497631974,-0.14983325081699614
2009-05-26,3.3944300706274846,2.596220760015714
2009-05-27,-1.1115980852102192,-1.9153424774368057
2009-05-28,1.189263113013208,1.5301255166552454
2009-05-29,1.278476456452529,1.3483445887850907
2009-06-01,3.0171508226751356,2.548994386142355
2009-06-02,0.44305320354776034,0.1981336974747815
2009-06-03,-0.5940957540166769,-1.383446575070985
2009-06-04,1.3112480239664472,1.1418220142166204
2009-06-05,-0.032437342152368646,-0.2517857488816695
2009-06-08,-0.3803006896745702,-0.1011065454445827
2009-06-09,0.9577308231524689,0.3497059761173111
2009-06-10,-0.3797258151981793,-0.3486401379967999
2009-06-11,0.5000750573938332,0.6093297249542341
2009-06-12,-0.19187519491335098,0.1396020848219796
2009-06-15,-2.3085608838221026,-2.405559125359691
2009-06-16,-1.1183321815268972,-1.2801901027885947
2009-06-17,0.6592259684858781,-0.13825234667824293
2009-06-18,-0.018806453987907683,0.8375815004881833
2009-06-19,1.0866113918205784,0.310935822324291
2009-06-22,-3.410781247479281,-3.107836433082392
2009-06-23,-0.07193205846096154,0.23040684995177824
2009-06-24,1.541666511974995,0.650324882432666
2009-06-25,2.054254043662349,2.1217583998248744
