observation_date,NASDAQCOM
2009-04-15,1626.800048828125
2009-04-16,1670.43994140625
2009-04-17,1673.0699462890625
2009-04-20,1608.2099609375
2009-04-21,1643.8499755859375
2009-04-22,1646.1199951171875
2009-04-23,1652.2099609375
2009-04-24,1694.2900390625
2009-04-27,1679.4100341796875
2009-04-28,1673.81005859375
2009-04-29,1711.93994140625
2009-04-30,1717.300048828125
2009-05-01,1719.199951171875
2009-05-04,1763.56005859375
2009-05-05,1754.1199951171875
2009-05-06,1759.0999755859375
2009-05-07,1716.239990234375
2009-05-08,1739.0
2009-05-11,1731.239990234375
2009-05-12,1715.9200439453125
2009-05-13,1664.18994140625
2009-05-14,1689.2099609375
2009-05-15,1680.1400146484375
2009-05-18,1732.3599853515625
2009-05-19,1734.5400390625
2009-05-20,1727.8399658203125
2009-05-21,1695.25
2009-05-22,1692.010009765625
2009-05-26,1750.4300537109375
2009-05-27,1731.0799560546875
2009-05-28,1751.7900390625
2009-05-29,1774.3299560546875
2009-06-01,1828.6800537109375
2009-06-02,1836.800048828125
2009-06-03,1825.9200439453125
2009-06-04,1850.02001953125
2009-06-05,1849.4200439453125
2009-06-08,1842.4000244140625
2009-06-09,1860.1300048828125
2009-06-10,1853.0799560546875
2009-06-11,1862.3699951171875
2009-06-12,1858.800048828125
2009-06-15,1816.3800048828125
2009-06-16,1796.1800537109375
2009-06-17,1808.06005859375
2009-06-18,1807.719970703125
2009-06-19,1827.469970703125
2009-06-22,1766.18994140625
2009-06-23,1764.9200439453125
2009-06-24,1792.3399658203125
2009-06-25,1829.5400390625
2009-06-26,1838.219970703125
2009-06-29,1844.06005859375
2009-06-30,1835.0400390625
2009-07-01,1845.719970703125
2009-07-02,1796.52001953125
2009-07-06,1787.4000244140625
2009-07-07,1746.1700439453125
2009-07-08,1747.1700439453125
2009-07-09,1752.550048828125
2009-07-10,1756.030029296875
2009-07-13,1793.2099609375
2009-07-14,1799.72998046875
2009-07-15,1862.9000244140625
2009-07-16,1885.030029296875
2009-07-17,1886.6099853515625
2009-07-20,1909.2900390625
2009-07-21,1916.199951171875
2009-07-22,1926.3800048828125
2009-07-23,1973.5999755859375
2009-07-24,1965.9599609375
2009-07-27,1967.8900146484375
2009-07-28,1975.510009765625
2009-07-29,1967.760009765625
2009-07-30,1984.300048828125
2009-07-31,1978.5
2009-08-03,2008.6099853515625
2009-08-04,2011.31005859375
2009-08-05,1993.050048828125
2009-08-06,1973.1600341796875
2009-08-07,2000.25
2009-08-10,1992.239990234375
2009-08-11,1969.72998046875
2009-08-12,1998.719970703125
2009-08-13,2009.3499755859375
2009-08-14,1985.52001953125
2009-08-17,1930.8399658203125
2009-08-18,1955.9200439453125
