date,Historical,RiskMetrics,Covariance,CCC-GARCH,Student-Copula-GARCH,Student-Copula-MSM
2013-10-17,-3.2112838745234207,-2.7025375716806224,-2.6149292699238345,-2.2815281275326895,-2.2839573353038407,-2.6666738581924614
2013-10-18,-3.2112838745234207,-2.6457822138360814,-2.6128489942385644,-2.187928767587984,-2.19026178417324,-2.5959026556352685
2013-10-21,-3.2112838745234207,-2.6257245917706538,-2.612957147685589,-2.1741500051597487,-2.176438558860445,-2.6274893521762883
2013-10-22,-3.1115556328926655,-2.546124788630282,-2.593220758777589,-2.048770446095724,-2.0509740808693353,-2.4949125407492416
2013-10-23,-3.1115556328926655,-2.479448257364614,-2.5909923613739063,-1.9585277015373237,-1.9605945990593783,-2.406930795349717
2013-10-24,-3.1115556328926655,-2.4223808191606544,-2.5913573812767012,-1.9102861495876031,-1.912349470905741,-2.3755647295982034
2013-10-25,-3.1115556328926655,-2.3620516812884182,-2.5913578949700997,-1.8313329845904913,-1.8333058415743388,-2.2726691448305814
2013-10-28,-3.1115556328926655,-2.3015328490262195,-2.5892793309017668,-1.7586166771252103,-1.7605156868145904,-2.1624218038222067
2013-10-29,-3.1115556328926655,-2.2314660729516294,-2.5874976671030625,-1.6782218342751312,-1.680033407181036,-2.0072283158403508
2013-10-30,-3.1115556328926655,-2.177520162284427,-2.5868411790130534,-1.6320863731154616,-1.6338599644959944,-1.9516018825600385
2013-10-31,-3.1115556328926655,-2.1318713060057237,-2.585480612260169,-1.628068545847158,-1.6298379783061483,-1.9687061276090636
2013-11-01,-3.1115556328926655,-2.0755304356644046,-2.5860097704088325,-1.5925858177179324,-1.5943229184000596,-1.9129728596146627
2013-11-04,-3.1115556328926655,-2.014761620734071,-2.5860925443911364,-1.5332205517141317,-1.5348950179038379,-1.822458676855484
2013-11-05,-3.1115556328926655,-1.9643268711773563,-2.581006418628946,-1.4907252408290852,-1.4923540758154061,-1.7826600773042842
2013-11-06,-3.1115556328926655,-1.905320237928609,-2.580467115843704,-1.4526296918753376,-1.454224742413355,-1.746237399009171
2013-11-07,-3.1115556328926655,-1.8483852954004403,-2.5804584469035916,-1.4265210100697887,-1.4280900436458823,-1.7358281839167604
2013-11-08,-3.1115556328926655,-2.0162659504774436,-2.579305370286437,-1.883335857704186,-1.8853460924515462,-2.2721090728739863
2013-11-11,-3.1115556328926655,-2.1251654309303456,-2.5785386173658407,-2.0695049529690657,-2.071717408985863,-2.5090890280148685
2013-11-12,-3.1115556328926655,-2.0605719124147854,-2.5756362976096305,-1.954628254025782,-1.956718451982605,-2.3213373884594284
2013-11-13,-3.1115556328926655,-1.998910824524658,-2.575052499664195,-1.8606438799132783,-1.8626387299731724,-2.17297399468741
2013-11-14,-3.1115556328926655,-2.0172139381847853,-2.56446093523574,-1.8915341569825999,-1.8935526019513529,-2.3140686812520608
2013-11-15,-3.1115556328926655,-1.9648615476783713,-2.564054135608321,-1.8112566300879538,-1.8131980701392125,-2.1870415663167084
2013-11-18,-3.1115556328926655,-1.9170718284074646,-2.5623116108533828,-1.7387238482447978,-1.740592689957133,-2.0736617518802163
2013-11-19,-3.1115556328926655,-1.895247897761236,-2.5580673613176983,-1.7508761662511159,-1.7527377028334672,-2.1303754269315163
2013-11-20,-3.1115556328926655,-1.8467956284510243,-2.558463497053528,-1.6975105139249957,-1.699314138217074,-2.036917772865439
