date,Historical,RiskMetrics,Covariance,CCC-GARCH,Student-Copula-GARCH,Student-Copula-MSM
2013-10-17,-1.8941452340013276,-1.9108400666793213,-1.8287381410863939,-1.5884907994906539,-1.5885307895806111,-1.645021569641227
2013-10-18,-1.8941452340013276,-1.8707109624979392,-1.8276416653601253,-1.5223109953421181,-1.5223491534947171,-1.5871194110310978
2013-10-21,-1.8941452340013276,-1.8565291400927484,-1.8275484893168343,-1.5125686659132787,-1.5126200497196802,-1.6135364127749023
2013-10-22,-1.8854469525436857,-1.8002477789252802,-1.8124989854300098,-1.4239185440749589,-1.4239666084823632,-1.5011923991536054
2013-10-23,-1.8854469525436857,-1.7531038691477734,-1.8113725112760795,-1.3601120483443316,-1.3601656952434091,-1.431027956033218
2013-10-24,-1.8854469525436857,-1.7127541072922665,-1.8116841132891837,-1.3260026648855134,-1.3260490650234482,-1.407109574122027
2013-10-25,-1.8854469525436857,-1.6700981475592807,-1.811745470766749,-1.2701785118196947,-1.2702217623326229,-1.3297606831097435
2013-10-28,-1.8854469525436857,-1.6273080636444286,-1.810711544689512,-1.2187641539725906,-1.218805744741752,-1.2554977846705981
2013-10-29,-1.8854469525436857,-1.5777670676304065,-1.809200831653944,-1.1619206567786602,-1.16196052678862,-1.163041459919867
2013-10-30,-1.8854469525436857,-1.5396243943826522,-1.8085463453573518,-1.1293003932891126,-1.1293437902359382,-1.1347601472179705
2013-10-31,-1.8854469525436857,-1.5073481868325798,-1.8082851376348326,-1.126459572348926,-1.1265029713650834,-1.1464195262590022
2013-11-01,-1.8854469525436857,-1.4675121477084956,-1.8087728707218433,-1.101371366621503,-1.1014223078629695,-1.115899918431917
2013-11-04,-1.8854469525436857,-1.424545312542059,-1.8088700357199348,-1.0593969163722896,-1.059446031722611,-1.0697003276022805
2013-11-05,-1.8854469525436857,-1.388885219888481,-1.8059386842175515,-1.0293504357845493,-1.0293967971819526,-1.0517656182412358
2013-11-06,-1.8854469525436857,-1.34716434237208,-1.8054646196440336,-1.002414824577599,-1.0024698669916912,-1.0337727279363564
2013-11-07,-1.8854469525436857,-1.306908262117383,-1.805688754673932,-0.9839545760300834,-0.9840109196388125,-1.0289747145858257
2013-11-08,-1.86637739264516,-1.4256089549414306,-1.8048021517856265,-1.3069473525453001,-1.3069923926080966,-1.3343093230427467
2013-11-11,-1.86637739264516,-1.502606770872094,-1.8043593871525263,-1.4385789606077732,-1.4386277166102464,-1.5116810178321203
2013-11-12,-1.86637739264516,-1.4569356636428357,-1.8019577544228158,-1.3573549282875943,-1.357401223718942,-1.363459331403462
2013-11-13,-1.86637739264516,-1.4133379432891389,-1.8014478310727007,-1.2909028983221904,-1.2909470222447543,-1.2616000976396353
2013-11-14,-1.8420868624214615,-1.4262792334651746,-1.7929586472581565,-1.312743993044947,-1.3127892324663855,-1.3629809230656158
2013-11-15,-1.8420868624214615,-1.3892632650603804,-1.7929109420693252,-1.2559834445694549,-1.2560265592930724,-1.2719361812897378
2013-11-18,-1.8420868624214615,-1.3554733517155617,-1.7913640332449727,-1.2046988492520907,-1.2047402427880687,-1.2016704055557155
2013-11-19,-1.8420868624214615,-1.3400426537196366,-1.7893122865614348,-1.2132911946066312,-1.2133358496468827,-1.2429913880892034
2013-11-20,-1.8420868624214615,-1.305784281703031,-1.789669944807939,-1.1755587953542443,-1.1756035546705639,-1.1867445863967305
2013-11-21,-1.8420868624214615,-1.2722711562315059,-1.7894692971718396,-1.1431249389774771,-1.1431668345736692,-1.143861423785675
2013-11-22,-1.8420868624214615,-1.299121412541487,-1.785332776978512,-1.19643006612417,-1.1964755240202178,-1.2586957377004093
2013-11-25,-1.8420868624214615,-1.2775160940441852,-1.7848155514700972,-1.1649309465708846,-1.1649744467763345,-1.2107861939614872
2013-11-26,-1.8420868624214615,-1.2386443198878534,-1.781960786449774,-1.115691068902403,-1.115732477416512,-1.1312192991396133
2013-11-27,-1.8420868624214615,-1.206849085189633,-1.7787865965862635,-1.0813829098474028,-1.0814254433705217,-1.102399690529933
2013-11-29,-1.8420868624214615,-1.184607014328413,-1.7786005130960245,-1.0587120097868918,-1.0587577299495037,-1.0946660490050528
