date,var_5pct,var_1pct
2013-10-17,1.62775955622251,2.623436316458951
2013-10-18,1.5890014719000376,2.5012550866543446
2013-10-21,1.6230251650505223,2.7641433610889132
2013-10-22,1.5309649075383835,2.4068390489817553
2013-10-23,1.491179844247145,2.4512203471483436
2013-10-24,1.4179769115169736,2.464677517948108
2013-10-25,1.3185878855150641,2.2830523728471497
2013-10-28,1.2317206065797908,2.203559556789345
2013-10-29,1.150099152061836,1.9509408969918172
2013-10-30,1.1560407341928176,1.8727103778804872
2013-10-31,1.1201994646336688,1.8532247786627627
2013-11-01,1.1242405441719245,1.9070607765540686
2013-11-04,1.069712436344715,1.9053594124266668
2013-11-05,1.048228118104533,1.8214428442431323
2013-11-06,1.0714721772170517,1.8459949966031284
2013-11-07,0.9983463264842248,1.6734122274792504
2013-11-08,1.3266165980818354,2.335630119132968
2013-11-11,1.491602719037705,2.5022023758846976
2013-11-12,1.3319961174693424,2.30350703656552
2013-11-13,1.2412032918950329,2.0708921103100493
2013-11-14,1.3512278925663228,2.2462119680838026
2013-11-15,1.2347103058373787,2.0976552304202705
2013-11-18,1.163478711395233,2.045576763701237
2013-11-19,1.286259890064025,2.1299536779610326
2013-11-20,1.2354350626015573,2.1771430102833036
2013-11-21,1.1306428151054386,1.9101814039293794
2013-11-22,1.2582331200118284,2.1537277129072003
2013-11-25,1.2036065567901286,2.097024884405395
2013-11-26,1.1138634363339062,1.965349530723315
2013-11-27,1.0606416014787636,1.8743141912497083
2013-11-29,1.0828069116155035,1.832706936299262
2013-12-02,1.039546245381632,1.8139690364251837
2013-12-03,1.0639084593030428,1.7957357495998687
2013-12-04,1.0638595643146986,1.706607176376019
2013-12-05,1.0166118785633136,1.707647546247406
2013-12-06,1.0008225248921438,1.6782076109441075
2013-12-09,1.1176011675627238,1.9050373509259622
2013-12-10,1.0669195298321381,1.7592467128583278
2013-12-11,1.0451323613836825,1.8059291311027006
2013-12-12,1.223042650330814,2.1667214478166428
2013-12-13,1.1993663257382887,1.988209696879326
2013-12-16,1.1131563890678413,1.9517410342764017
2013-12-17,1.1249957937193154,1.8598029709952484
2013-12-18,1.1109933686549105,1.917083882453666
2013-12-19,1.2794931414464323,2.1651066367803806
2013-12-20,1.1908939788471107,1.969813567844651
2013-12-23,1.2773555543134933,2.177401058977623
2013-12-24,1.2644448700946553,2.046345502085231
2013-12-26,1.1557294852213311,2.0511134869599323
2013-12-27,1.1195777782643088,1.9105084008513373
2013-12-30,1.081629928154732,1.8527919843996583
2013-12-31,1.033532678786216,1.7747778819914295
2014-01-02,1.018107827391159,1.7960909915009666
2014-01-03,1.1430595264434853,1.9153605962954316
2014-01-06,1.0660963045382816,1.7619282292169358
2014-01-07,1.070255248593772,1.8160539591068101
2014-01-08,1.1381634856440705,1.9806961226305613
2014-01-09,1.0804186037456744,1.844531511035142
2014-01-10,1.0411328521734373,1.7576289032696357
2014-01-13,1.024926279721763,1.7454611288135673
2014-01-14,1.2576510630154283,2.134604682807534
2014-01-15,1.41327489013136,2.3956394753451846
2014-01-16,1.3441528422919722,2.462560209723235
2014-01-17,1.2450066906932498,2.1555057019538677
2014-01-21,1.2615155655939823,2.108081108637715
2014-01-22,1.1676386988659708,1.9881601889383211
2014-01-23,1.1491131797393659,2.0155017210081665
2014-01-24,1.2077242200635832,2.173391709055196
2014-01-27,1.626311289471454,2.703378586290908
2014-01-28,1.5946570072264692,2.668375838275884
2014-01-29,1.5475783436946364,2.6361954493195414
2014-01-30,1.6384003540896892,2.6741718612945
2014-01-31,1.7612470924306858,2.750684604956461
2014-02-03,1.5852293314199146,2.5631135034825214
2014-02-04,1.7657095411329418,2.800615595213881
2014-02-05,1.7296966888228864,2.848700501884064
2014-02-06,1.661106893129641,2.7468798947045636
2014-02-07,1.6649851822701205,2.812732679075677
2014-02-10,1.7320371105121972,2.8242686936655956
2014-02-11,1.7075489353503583,2.6723704861866375
2014-02-12,1.703258528400348,2.7291499628695752
2014-02-13,1.5845235663749517,2.5960997202024987
2014-02-14,1.509034823205825,2.5210877501091824
2014-02-18,1.4350670758585957,2.4232750958020266
2014-02-19,1.4052559389122226,2.487664138698007
2014-02-20,1.3598017170352799,2.3494295148382167
2014-02-21,1.4183888112700342,2.3129325260851896
2014-02-24,1.2882082913221093,2.199397797245425
2014-02-25,1.2918881680602807,2.2248246412372934
2014-02-26,1.1515625060430863,2.0385941017238873
2014-02-27,1.1018649902308566,1.88684141669629
2014-02-28,1.083636273452853,1.8892109063774478
2014-03-03,1.0691666137622065,1.8923374768645023
2014-03-04,1.1214799314087371,1.9438458429056056
2014-03-05,1.383999322938342,2.3126037773288135
2014-03-06,1.2870743466367285,2.177657939372989
2014-03-07,1.155838287218124,2.001199300761011
2014-03-10,1.094511881761653,1.8916579791184855
2014-03-11,1.0629657649966158,1.8072667089307755
2014-03-12,1.0763478176260741,1.8513033927068274
2014-03-13,1.0523790967995506,1.7155900291097932
2014-03-14,1.2800427775341334,2.1817049030978075
2014-03-17,1.1948454505364603,2.0505368589325563
2014-03-18,1.261492469521456,2.127640059375859
2014-03-19,1.3717118445439642,2.3296949582635866
2014-03-20,1.3718400860017281,2.370646386495591
2014-03-21,1.3056587847730463,2.2490925255835417
2014-03-24,1.2926305920515098,2.223317531362574
2014-03-25,1.3372879553261205,2.2385466444352
2014-03-26,1.294730476898196,2.1247614024813783
2014-03-27,1.4036534861297894,2.3655698656562834
2014-03-28,1.319342560952155,2.3379134988213495
2014-03-31,1.2876363219714095,2.2131814525517064
2014-04-01,1.3293018039317177,2.296844918095514
2014-04-02,1.3919854674103507,2.37500310330209
2014-04-03,1.3392584656687443,2.235729557140822
2014-04-04,1.3247214918818775,2.1625031908667887
2014-04-07,1.6080308621590775,2.732915190710881
2014-04-08,1.6336113288598333,2.7983970295849763
2014-04-09,1.5273172883284092,2.5920692944597508
2014-04-10,1.7186404025949353,2.6991283750957065
2014-04-11,1.9899203777828798,3.3135988446415947
2014-04-14,1.9571494077441844,3.167226346662436
2014-04-15,1.7625122937378201,2.9972215562706164
2014-04-16,1.6604605398912355,2.7085527112573184
2014-04-17,1.7728909311323073,2.964582174666686
2014-04-21,1.6142807270098702,2.628491720532004
2014-04-22,1.5459336713254035,2.5048840661158986
2014-04-23,1.5104742727356995,2.6321277614956613
2014-04-24,1.510455623825813,2.460409679271536
2014-04-25,1.3570487168129484,2.231364296225872
2014-04-28,1.5880161264562414,2.625871797575656
2014-04-29,1.388040979346974,2.3584642186435834
2014-04-30,1.3567435734258217,2.3616724664500555
2014-05-01,1.2530355168729954,2.0849528424968478
2014-05-02,1.2177304161439266,2.137251454995673
2014-05-05,1.1436967560740203,1.9748929713297574
2014-05-06,1.0735168982956238,1.8233482203100295
2014-05-07,1.2932040455922769,2.222835634095768
2014-05-08,1.1867449273219621,2.0727815424447815
2014-05-09,1.1608715160560266,1.9998436709102192
2014-05-12,1.1509059911279464,1.9453101832387858
2014-05-13,1.374693373795056,2.3181887454773213
2014-05-14,1.2534496685189986,2.196261869066286
2014-05-15,1.2735210282201832,2.2162361749616513
2014-05-16,1.3710911643049375,2.2940994219896886
2014-05-19,1.2625067938769314,2.1718079543976923
2014-05-20,1.2865914025143073,2.1671794519394947
2014-05-21,1.3106453845711987,2.1814065727804537
2014-05-22,1.3137804861077678,2.2271947420658615
2014-05-23,1.2330901195108541,2.1348709600684344
2014-05-27,1.247957247130167,2.124051243984784
2014-05-28,1.327026142959258,2.2305496895514145
2014-05-29,1.2408641920254637,2.1232702745830663
2014-05-30,1.2102614923247466,1.9885223177543967
2014-06-02,1.102119576845454,1.91213778926591
2014-06-03,1.1061688052091154,1.9182161427228641
2014-06-04,1.089492675812007,1.8964508701698997
2014-06-05,1.0501025910910904,1.6950539258432782
2014-06-06,1.108220673797228,1.794191768954361
2014-06-09,1.1015332979814567,1.8027701935707685
2014-06-10,1.0537355043017562,1.8018373969573258
2014-06-11,1.0168340652050434,1.6984443974057353
2014-06-12,1.0532795369905616,1.7253084140592836
2014-06-13,1.1237852229664462,1.824831354422352
2014-06-16,1.0815257086340662,1.8084667752955628
2014-06-17,1.0042036869432953,1.738195114325794
2014-06-18,1.0419650950489165,1.6967056782172127
2014-06-19,1.0697083149262079,1.8319013584036168
2014-06-20,1.0023821959539378,1.8053366749564488
2014-06-23,0.9847354339106409,1.6290803983516975
2014-06-24,0.9816731428349673,1.6684496155308552
2014-06-25,1.0204931075481047,1.7095364245718356
2014-06-26,1.004937920603429,1.7359508119130869
2014-06-27,1.0369303028142571,1.677959187480378
2014-06-30,0.9724832865499523,1.72825050092343
2014-07-01,0.9696862743389794,1.7322742936206825
2014-07-02,1.0704545312411773,1.7546738445917902
2014-07-03,1.0386020955425885,1.7980758190424704
2014-07-07,1.049315144095545,1.7415641037270488
2014-07-08,1.054886915883974,1.8342822460547183
2014-07-09,1.2376577064460765,2.115765104694986
2014-07-10,1.1502917094707978,1.973292412019952
2014-07-11,1.1543945710089276,1.975042398405491
2014-07-14,1.1056794822484888,1.8650152335028254
2014-07-15,1.0994550839286257,1.8544541624290383
2014-07-16,1.0751237682358163,1.7773499207765437
2014-07-17,1.040729752204066,1.7221731523682298
