,Copula-GARCH rotated_clayton
2013-10-17,-1.470044164418996
2013-10-18,-1.4168326226909251
2013-10-21,-1.4095751953989635
2013-10-22,-1.3370107872587436
2013-10-23,-1.282619236665917
2013-10-24,-1.255677563262513
2013-10-25,-1.2069986590909734
2013-10-28,-1.1618741534905817
2013-10-29,-1.1117355185096167
2013-10-30,-1.078146749158477
2013-10-31,-1.0758113000438532
2013-11-01,-1.0526673682736387
2013-11-04,-1.0129933944189542
2013-11-05,-0.982983148750259
2013-11-06,-0.9560560833019397
2013-11-07,-0.935611487821126
2013-11-08,-1.2194552960371994
2013-11-11,-1.330206593459248
2013-11-12,-1.2640267424156897
2013-11-13,-1.2100320990674527
2013-11-14,-1.225505554568293
2013-11-15,-1.1773350107851412
2013-11-18,-1.1328463433326341
2013-11-19,-1.1447513778488572
2013-11-20,-1.11374922136994
2013-11-21,-1.0860038250447994
2013-11-22,-1.1253469452414864
2013-11-25,-1.0961044736821541
2013-11-26,-1.0560416404321087
2013-11-27,-1.0244445785295182
2013-11-29,-1.002399389745801
2013-12-02,-0.9712922576387215
2013-12-03,-0.9619327914733805
2013-12-04,-0.9455423383166696
2013-12-05,-0.9179639163279346
2013-12-06,-0.9125763377409077
2013-12-09,-0.9753901242103356
2013-12-10,-0.9394855279789339
2013-12-11,-0.924073247239771
2013-12-12,-1.1083282080314525
2013-12-13,-1.0758056837429186
2013-12-16,-1.0315194143467297
2013-12-17,-1.0272701284200496
2013-12-18,-1.000276427997856
2013-12-19,-1.1555742883399456
2013-12-20,-1.1113446167233811
2013-12-23,-1.1214190987054806
2013-12-24,-1.1233888129494196
2013-12-26,-1.0743810104967262
2013-12-27,-1.0388674180926272
2013-12-30,-1.0059050256375153
2013-12-31,-0.9683880451583288
2014-01-02,-0.9478317097867358
2014-01-03,-1.0241872489826878
2014-01-06,-0.991365488527679
2014-01-07,-0.9766251089818545
2014-01-08,-0.9941314397466902
2014-01-09,-0.9572968357033396
2014-01-10,-0.9284829213299584
2014-01-13,-0.9030679115531811
2014-01-14,-1.1295949255281736
2014-01-15,-1.239397842953462
2014-01-16,-1.2054711178452433
2014-01-17,-1.1499573709875712
2014-01-21,-1.127947272693524
2014-01-22,-1.0920246227011818
2014-01-23,-1.0483213430360416
2014-01-24,-1.0893231699514068
2014-01-27,-1.511129416222399
2014-01-28,-1.4955964074447343
2014-01-29,-1.420931191157272
2014-01-30,-1.4583439535607188
2014-01-31,-1.5235344181303485
2014-02-03,-1.4695258191314926
2014-02-04,-1.8814969784776803
2014-02-05,-1.7909967294480973
2014-02-06,-1.6910737023519802
2014-02-07,-1.675111259580811
2014-02-10,-1.7155905845867019
2014-02-11,-1.6126993804692156
2014-02-12,-1.5888273489540894
2014-02-13,-1.4925027221758307
2014-02-14,-1.4406826547066347
2014-02-18,-1.3657783750762158
2014-02-19,-1.3009125577153855
2014-02-20,-1.2960465890043373
2014-02-21,-1.2538947897652046
2014-02-24,-1.195471100172287
2014-02-25,-1.1671347014644768
2014-02-26,-1.115976876227788
2014-02-27,-1.0657769540194366
2014-02-28,-1.0423814322440674
2014-03-03,-1.0058400185631542
2014-03-04,-1.049041584200151
2014-03-05,-1.252254488677609
2014-03-06,-1.1857082231434637
2014-03-07,-1.1284340772171346
2014-03-10,-1.0834773978904861
2014-03-11,-1.036409712998398
2014-03-12,-1.0463749366508044
2014-03-13,-1.005611262578412
2014-03-14,-1.1934687755079516
2014-03-17,-1.1517976575113573
2014-03-18,-1.1660537282877386
2014-03-19,-1.1905471490843336
2014-03-20,-1.1828243515682826
2014-03-21,-1.1407306692091452
2014-03-24,-1.152366055439252
2014-03-25,-1.1909058127856895
2014-03-26,-1.1394541132193508
2014-03-27,-1.2277898768410922
2014-03-28,-1.1870162366282624
2014-03-31,-1.1378045000348083
2014-04-01,-1.1548651296289993
2014-04-02,-1.2208837465209177
2014-04-03,-1.1622836278980309
2014-04-04,-1.152517836072374
2014-04-07,-1.4922047149899618
2014-04-08,-1.538055598045061
2014-04-09,-1.4641170612492058
2014-04-10,-1.522469789648297
2014-04-11,-1.9949975271849758
2014-04-14,-1.9579952115391566
2014-04-15,-1.8493806065102933
2014-04-16,-1.739389716815352
2014-04-17,-1.7114569101486077
2014-04-21,-1.5996358472633674
2014-04-22,-1.5138084594426204
2014-04-23,-1.4532647404094896
2014-04-24,-1.4038591527070576
2014-04-25,-1.3291999357372941
2014-04-28,-1.4336835255244456
2014-04-29,-1.3534546970194576
2014-04-30,-1.300881576179886
2014-05-01,-1.2327512779392158
2014-05-02,-1.1691563496169477
2014-05-05,-1.1145850193658842
2014-05-06,-1.0670600900012364
2014-05-07,-1.1938537413689314
2014-05-08,-1.1571679869382108
2014-05-09,-1.1157232024085375
