,Copula-GARCH gumbel
2013-10-17,-2.221527948908376
2013-10-18,-2.1424522705555042
2013-10-21,-2.132114179326423
2013-10-22,-2.026222630199921
2013-10-23,-1.9461296614766688
2013-10-24,-1.9058356538455012
2013-10-25,-1.8336057062970768
2013-10-28,-1.7664264233606866
2013-10-29,-1.6923172063733776
2013-10-30,-1.6430136521278715
2013-10-31,-1.639136261991995
2013-11-01,-1.6046510100149425
2013-11-04,-1.5459763352223295
2013-11-05,-1.5012965588139577
2013-11-06,-1.461513619029172
2013-11-07,-1.4311300633886141
2013-11-08,-1.8491450700322731
2013-11-11,-2.0127309027026117
2013-11-12,-1.9149114683110637
2013-11-13,-1.835130292392786
2013-11-14,-1.8588974805849976
2013-11-15,-1.7878570603867108
2013-11-18,-1.7223220017720766
2013-11-19,-1.7389569173252737
2013-11-20,-1.6928518856226842
2013-11-21,-1.6518003486350796
2013-11-22,-1.7106582651464264
2013-11-25,-1.6676626995368975
2013-11-26,-1.6080544161510955
2013-11-27,-1.5617048835494225
2013-11-29,-1.5289359000429232
2013-12-02,-1.4829831392178678
2013-12-03,-1.468302830267649
2013-12-04,-1.4441056241612555
2013-12-05,-1.4034788658058301
2013-12-06,-1.3954246484001893
2013-12-09,-1.4901715889954066
2013-12-10,-1.4371827264636443
2013-12-11,-1.4141971027478615
2013-12-12,-1.68576857684007
2013-12-13,-1.637580454828386
2013-12-16,-1.5720450151388214
2013-12-17,-1.5662416225846025
2013-12-18,-1.5262815572586708
2013-12-19,-1.7577727332251853
2013-12-20,-1.6921762211106481
2013-12-23,-1.707756482581925
2013-12-24,-1.7119897419205137
2013-12-26,-1.639477698505359
2013-12-27,-1.586671446003366
2013-12-30,-1.5374801227457748
2013-12-31,-1.481948577113168
2014-01-02,-1.4516656074268472
2014-01-03,-1.564348492291304
2014-01-06,-1.5156563537344478
2014-01-07,-1.494365279120382
2014-01-08,-1.5205382774333844
2014-01-09,-1.4669320541839783
2014-01-10,-1.4239295668401413
2014-01-13,-1.3862305089035973
2014-01-14,-1.720360155018214
2014-01-15,-1.8827822916452008
2014-01-16,-1.832529438954103
2014-01-17,-1.7503609264701236
2014-01-21,-1.7171339190687316
2014-01-22,-1.6639530088671066
2014-01-23,-1.5992096747882885
2014-01-24,-1.6599394258503664
2014-01-27,-2.283307248782108
2014-01-28,-2.2596760900868436
2014-01-29,-2.1490342323832667
2014-01-30,-2.204009062072612
2014-01-31,-2.3006806701333167
2014-02-03,-2.2207558596368133
2014-02-04,-2.8298632401186623
2014-02-05,-2.6957950351723103
2014-02-06,-2.5473530576914536
2014-02-07,-2.5242377901353863
2014-02-10,-2.58443646190395
2014-02-11,-2.43232651864426
2014-02-12,-2.397218115103367
2014-02-13,-2.254782407945763
2014-02-14,-2.178364077005929
2014-02-18,-2.067538105601638
2014-02-19,-1.971718569522493
2014-02-20,-1.9644056777689272
2014-02-21,-1.903441771841924
2014-02-24,-1.8164996648216274
2014-02-25,-1.7746556570598377
2014-02-26,-1.6987263163696043
2014-02-27,-1.6236920677988487
2014-02-28,-1.5894202956484953
2014-03-03,-1.5354923269466878
2014-03-04,-1.5992810818669416
2014-03-05,-1.9008405196089053
2014-03-06,-1.8024219700383997
2014-03-07,-1.717852074046314
