,Copula-GARCH clayton
2013-10-17,-2.2883706899821035
2013-10-18,-2.2068029569058614
2013-10-21,-2.1961562834506703
2013-10-22,-2.0877583071721886
2013-10-23,-2.0056950032850875
2013-10-24,-1.9639797516771895
2013-10-25,-1.8894447657525082
2013-10-28,-1.8201162660481638
2013-10-29,-1.7438892455258481
2013-10-30,-1.6932880897418245
2013-10-31,-1.6893619745597954
2013-11-01,-1.6538175671647979
2013-11-04,-1.5934310654540114
2013-11-05,-1.547437066041383
2013-11-06,-1.5065889314595085
2013-11-07,-1.475267084369706
2013-11-08,-1.9047365890775383
2013-11-11,-2.072500734760424
2013-11-12,-1.9716466764314295
2013-11-13,-1.8896109928750102
2013-11-14,-1.9140964065362565
2013-11-15,-1.841216225254747
2013-11-18,-1.7738218645313428
2013-11-19,-1.7908596846102882
2013-11-20,-1.743395273857599
2013-11-21,-1.7012906084105717
2013-11-22,-1.7618084578379385
2013-11-25,-1.7176084965645002
2013-11-26,-1.6563676142094308
2013-11-27,-1.6087413904203647
2013-11-29,-1.574943567283964
2013-12-02,-1.5278463657584835
2013-12-03,-1.512782015675957
2013-12-04,-1.4880445923619976
2013-12-05,-1.4462729876601683
2013-12-06,-1.4382834205707957
2013-12-09,-1.536390768808257
2013-12-10,-1.4818550637030246
2013-12-11,-1.4581443112833
2013-12-12,-1.737400814628711
2013-12-13,-1.6879058547320152
2013-12-16,-1.6204368491437575
2013-12-17,-1.6145619893135006
2013-12-18,-1.5735078497849166
2013-12-19,-1.8120507181194925
2013-12-20,-1.7444370058441636
2013-12-23,-1.7605948861885206
2013-12-24,-1.7653092439180764
2013-12-26,-1.6906165787219178
2013-12-27,-1.6360905049669845
2013-12-30,-1.5855419431442304
2013-12-31,-1.528300149885492
2014-01-02,-1.4970106460606432
2014-01-03,-1.6130568748977987
2014-01-06,-1.5629769190658864
2014-01-07,-1.5412959313443322
2014-01-08,-1.5680315033835317
2014-01-09,-1.5131326291512313
2014-01-10,-1.468817316126041
2014-01-13,-1.4299639741299734
2014-01-14,-1.7736785635213261
2014-01-15,-1.9403811171456284
2014-01-16,-1.8885881550593488
2014-01-17,-1.804237333348192
2014-01-21,-1.7699455173726977
2014-01-22,-1.7152039262051306
2014-01-23,-1.6487087217191803
2014-01-24,-1.7116833489675347
2014-01-27,-2.3530724330852957
2014-01-28,-2.3290206687545383
2014-01-29,-2.2149437984466616
2014-01-30,-2.2714434009969415
2014-01-31,-2.370628124081029
2014-02-03,-2.288490037143087
2014-02-04,-2.9151785133409236
2014-02-05,-2.7770249111521355
2014-02-06,-2.6242904304924033
2014-02-07,-2.600658328845143
2014-02-10,-2.6623504987302686
2014-02-11,-2.5057686569760986
2014-02-12,-2.4698364848397554
2014-02-13,-2.323298240587513
2014-02-14,-2.2446165002653813
2014-02-18,-2.130736671498878
2014-02-19,-2.032199960886724
2014-02-20,-2.024646228198655
2014-02-21,-1.961949556479808
2014-02-24,-1.8723988731106618
2014-02-25,-1.829369389062851
2014-02-26,-1.751276894559714
2014-02-27,-1.6739336828166833
2014-02-28,-1.638673213280765
