,Copula-MSM gaussian
2013-10-17,-1.6451036906392131
2013-10-18,-1.5950782974047724
2013-10-21,-1.626555650561885
2013-10-22,-1.5150123067024113
2013-10-23,-1.438792646050872
2013-10-24,-1.413498856356003
2013-10-25,-1.2990679297701546
2013-10-28,-1.2559794608908412
2013-10-29,-1.164980855824186
2013-10-30,-1.1059440929554742
2013-10-31,-1.098433998348489
2013-11-01,-1.0694279582497805
2013-11-04,-0.9706105379222981
2013-11-05,-1.067835884433914
2013-11-06,-1.048415453947621
2013-11-07,-1.04291137733475
2013-11-08,-1.3593008537305256
2013-11-11,-1.5416785397850974
2013-11-12,-1.3952021298831472
2013-11-13,-1.2779009731015014
2013-11-14,-1.3756906723653881
2013-11-15,-1.27915586849589
2013-11-18,-1.2020914063900185
2013-11-19,-1.2523090076747236
2013-11-20,-1.1993186636133046
2013-11-21,-1.159528418249981
2013-11-22,-1.26540042741943
2013-11-25,-1.2191770594483657
2013-11-26,-1.1407871961614404
2013-11-27,-1.1118135918426613
2013-11-29,-1.1049026454295525
2013-12-02,-1.072501803536832
2013-12-03,-1.0454048126071014
2013-12-04,-1.0596159054579872
2013-12-05,-1.0003519204218279
2013-12-06,-1.0392829630061557
2013-12-09,-1.1252129581923116
2013-12-10,-1.0670416789895545
2013-12-11,-1.0578773255438416
2013-12-12,-1.2321302676816306
2013-12-13,-1.1833872582135407
2013-12-16,-1.112736465863981
2013-12-17,-1.130533185900918
2013-12-18,-1.089251057492414
2013-12-19,-1.3135647854595123
2013-12-20,-1.2098636545520651
2013-12-23,-1.2547795171576892
2013-12-24,-1.2742005337201778
2013-12-26,-1.1793931453966957
2013-12-27,-1.1321066233833073
2013-12-30,-1.086468086051524
2013-12-31,-1.046725075648629
2014-01-02,-1.0490508411981656
2014-01-03,-1.1561454180201367
2014-01-06,-1.0911054632786963
2014-01-07,-1.0740833326489676
2014-01-08,-1.1213769074892892
2014-01-09,-1.0669648157823999
2014-01-10,-1.0373971082647393
2014-01-13,-1.0238551580451616
2014-01-14,-1.250746261893402
2014-01-15,-1.4280986750352227
2014-01-16,-1.3692341457797281
2014-01-17,-1.256587403128756
2014-01-21,-1.2349473682416061
2014-01-22,-1.193570034236726
2014-01-23,-1.131343565088919
2014-01-24,-1.2037470353548851
2014-01-27,-1.6981010762553643
2014-01-28,-1.6419105617884397
2014-01-29,-1.5685306995589179
2014-01-30,-1.6495762888152183
2014-01-31,-1.7219118599347494
2014-02-03,-1.6599176006107852
2014-02-04,-1.8692116587473298
2014-02-05,-1.7752636994279398
2014-02-06,-1.6933129621366296
2014-02-07,-1.732775493402472
2014-02-10,-1.7901117955908734
2014-02-11,-1.6822032886565323
2014-02-12,-1.7077543577095278
2014-02-13,-1.6248897919567373
2014-02-14,-1.5870064432223028
2014-02-18,-1.488468161960726
2014-02-19,-1.3916491046819839
2014-02-20,-1.4219627520809062
2014-02-21,-1.40919559952298
2014-02-24,-1.2982934244823385
2014-02-25,-1.2904181854755
2014-02-26,-1.1966630163056822
2014-02-27,-1.1206966475933824
2014-02-28,-1.1215930370420424
2014-03-03,-1.0854028798526296
2014-03-04,-1.1367811628740756
2014-03-05,-1.4566467626607602
2014-03-06,-1.3168632358960135
2014-03-07,-1.2122771476808134
2014-03-10,-1.1496219691181986
2014-03-11,-1.0862906877942093
2014-03-12,-1.113753830268762
2014-03-13,-1.06066601718261
2014-03-14,-1.3195264881725512
2014-03-17,-1.2458165325106412
2014-03-18,-1.303584362778482
2014-03-19,-1.3534877803565977
2014-03-20,-1.3468881617771382
2014-03-21,-1.2956946163997727
2014-03-24,-1.2897290326855828
2014-03-25,-1.3808792925827547
2014-03-26,-1.2877459503972768
2014-03-27,-1.4331596814130076
2014-03-28,-1.3277942321642633
2014-03-31,-1.2657171601984731
2014-04-01,-1.3124916800234459
2014-04-02,-1.4186061666580474
2014-04-03,-1.3252766756351646
2014-04-04,-1.3064458624943498
2014-04-07,-1.603040914296819
2014-04-08,-1.743527564787679
2014-04-09,-1.6261250067005861
2014-04-10,-1.7418893927286103
2014-04-11,-2.204496702488406
2014-04-14,-1.9214270211690785
2014-04-15,-1.827527004272903
2014-04-16,-1.718853518068789
2014-04-17,-1.768675575762836
2014-04-21,-1.6197491133076736
2014-04-22,-1.6296097096354032
2014-04-23,-1.533984429314408
2014-04-24,-1.4729194372716672
2014-04-25,-1.3754183833421512
2014-04-28,-1.5628368036947584
2014-04-29,-1.4418328817896848
2014-04-30,-1.4046414482160596
2014-05-01,-1.3126117521410732
2014-05-02,-1.2165018866748234
2014-05-05,-1.159424598301455
2014-05-06,-1.1074172360982135
2014-05-07,-1.3164179495067236
2014-05-08,-1.2797222322967436
2014-05-09,-1.213701802741021
2014-05-12,-1.1502615921113184
2014-05-13,-1.3701102622187131
2014-05-14,-1.293906498170967
2014-05-15,-1.2944427817549242
2014-05-16,-1.353727772727549
2014-05-19,-1.2937093143616996
2014-05-20,-1.265760592808781
2014-05-21,-1.2892268715595305
2014-05-22,-1.3189602744999183
2014-05-23,-1.2479208503991321
2014-05-27,-1.2297802434332246
2014-05-28,-1.285784352282553
2014-05-29,-1.2185959911633122
2014-05-30,-1.192740187342329
2014-06-02,-1.1377004862697044
2014-06-03,-1.0864305349731425
2014-06-04,-1.0367362021677187
2014-06-05,-0.9968994170272027
2014-06-06,-1.0962703061485426
2014-06-09,-1.0814164489758638
2014-06-10,-1.0344141934106867
2014-06-11,-0.9840369315007188
2014-06-12,-0.9623057028363989
2014-06-13,-1.058851526640301
2014-06-16,-1.0079635427842972
2014-06-17,-0.9599961892094905
2014-06-18,-1.0264758654768347
2014-06-19,-1.0729646167816507
2014-06-20,-1.0309483595035154
2014-06-23,-1.0135148488771102
2014-06-24,-0.8397253815789464
2014-06-25,-1.0354099262491485
2014-06-26,-1.0531804596228078
2014-06-27,-0.866823372380548
2014-06-30,-0.8476963400855437
2014-07-01,-0.814727822749039
2014-07-02,-1.0852324268573184
2014-07-03,-1.0187622069848763
2014-07-07,-1.0481005559372325
2014-07-08,-0.9909276024468067
2014-07-09,-1.242918733471174
2014-07-10,-1.200771142221869
2014-07-11,-1.1845927089809305
2014-07-14,-1.1216530706877406
2014-07-15,-1.1149076172734125
2014-07-16,-1.0519500848864827
2014-07-17,-1.0661693612688523
2014-07-18,-1.2478906738218143
2014-07-21,-1.4486875004413797
2014-07-22,-1.2884217105730857
2014-07-23,-1.296755326076403
2014-07-24,-1.1673813684600474
2014-07-25,-1.086743060133714
2014-07-28,-1.089436117362255
2014-07-29,-1.0160382456594366
2014-07-30,-1.0521314060866427
2014-07-31,-1.0242063910348542
2014-08-01,-1.5364458823461113
2014-08-04,-1.4319049002402386
2014-08-05,-1.412377717890587
2014-08-06,-1.4560495238713784
2014-08-07,-1.3337994898152898
2014-08-08,-1.3119421337414103
2014-08-11,-1.3656298421804156
2014-08-12,-1.3004079914310198
2014-08-13,-1.21174279112746
2014-08-14,-1.2482329775151793
2014-08-15,-1.1708105052628754
2014-08-18,-1.1047471178470305
2014-08-19,-1.1566862875943453
2014-08-20,-1.1779948081486764
2014-08-21,-1.0612071234088758
2014-08-22,-1.014700030968229
2014-08-25,-0.9853119788147007
2014-08-26,-0.9815972285388695
2014-08-27,-0.9591585140509988
2014-08-28,-0.9354487690341962
2014-08-29,-0.9322663103558809
2014-09-02,-0.7890700649000353
2014-09-03,-0.9482419415807265
2014-09-04,-0.9616731198629641
2014-09-05,-0.8034297229045879
2014-09-08,-0.959975583272145
2014-09-09,-0.8116089597313111
2014-09-10,-1.0634645432937717
2014-09-11,-0.9493492364793515
2014-09-12,-0.9953206478593787
2014-09-15,-0.940919870023243
2014-09-16,-1.0965892854906483
2014-09-17,-1.134808958478354
2014-09-18,-1.0625219445685907
2014-09-19,-1.0727373374277736
2014-09-22,-1.0282151465795746
2014-09-23,-1.1841638637814007
2014-09-24,-1.1631710737361134
2014-09-25,-1.2272199978967984
2014-09-26,-1.6382382030867328
2014-09-29,-1.6105818675028454
2014-09-30,-1.5076922624668312
2014-10-01,-1.414717736194507
2014-10-02,-1.592922333838643
2014-10-03,-1.486304756889171
2014-10-06,-1.5226096143666834
2014-10-07,-1.440323207622196
2014-10-08,-1.6188222406365096
2014-10-09,-1.7540442973424775
2014-10-10,-1.9013876760544197
2014-10-13,-2.0055856075529417
2014-10-14,-2.0415802637653773
2014-10-15,-1.877782388480907
2014-10-16,-1.6965846708534171
2014-10-17,-1.6048215786607871
2014-10-20,-1.6392578525220918
2014-10-21,-1.7130786984914312
2014-10-22,-1.9440212454154386
2014-10-23,-1.844100503155528
2014-10-24,-1.872430494913418
2014-10-27,-1.7851879207759769
2014-10-28,-1.6111309620935357
2014-10-29,-1.7548886807474435
2014-10-30,-1.6433272598601918
2014-10-31,-1.5828284889615483
2014-11-03,-1.6931131115993234
2014-11-04,-1.5642541401597831
2014-11-05,-1.4522295279002935
2014-11-06,-1.3575517329179645
2014-11-07,-1.340496121863251
2014-11-10,-1.2145159038193876
2014-11-11,-1.1346870462245706
2014-11-12,-1.0702463757826268
2014-11-13,-1.0388122950880447
2014-11-14,-1.0076595571241762
2014-11-17,-0.841786305549704
2014-11-18,-0.7905570974655363
2014-11-19,-1.0156176649702355
2014-11-20,-0.912996988199774
2014-11-21,-0.9425206730597298
2014-11-24,-1.0098838500040663
2014-11-25,-1.0363181832003867
2014-11-26,-1.001027469261617
2014-11-28,-1.006250547023247
2014-12-01,-0.8358223593797021
2014-12-02,-1.1465312183869436
2014-12-03,-1.1244726798688682
2014-12-04,-1.0316829262658194
2014-12-05,-1.0196406528194595
2014-12-08,-0.9853095866889876
2014-12-09,-1.089324030460044
2014-12-10,-1.0381054483950867
2014-12-11,-1.4317086977417015
2014-12-12,-1.3047371726701833
2014-12-15,-1.5689177737969988
2014-12-16,-1.5769182501553267
2014-12-17,-1.6453338265846966
2014-12-18,-1.7935562512029977
2014-12-19,-1.8197668293097626
2014-12-22,-1.7272427344397774
2014-12-23,-1.639999608012567
2014-12-24,-1.537557491646005
2014-12-26,-1.361750894310569
2014-12-29,-1.343483080736969
2014-12-30,-1.2125801191414571
2014-12-31,-1.226663390388774
2015-01-02,-1.3275439066947483
2015-01-05,-1.2296649214299373
2015-01-06,-1.6277715152834484
2015-01-07,-1.6574778329214328
2015-01-08,-1.6833929595050097
2015-01-09,-1.7566037129729406
2015-01-12,-1.7212979594451254
2015-01-13,-1.7021257271504888
2015-01-14,-1.6020313687741485
2015-01-15,-1.5177560556196443
2015-01-16,-1.6828373952093818
2015-01-20,-1.7285087710950284
2015-01-21,-1.6025469608952212
2015-01-22,-1.5257832195568661
2015-01-23,-1.714705718888693
2015-01-26,-1.601660576135075
2015-01-27,-1.4984824639856245
2015-01-28,-1.7240939778940525
2015-01-29,-1.7280118816014685
2015-01-30,-1.6778787564008024
2015-02-02,-1.7008385960085188
2015-02-03,-1.6874438930023428
2015-02-04,-1.7033833088642176
2015-02-05,-1.6227161506013665
2015-02-06,-1.6445359824119978
2015-02-09,-1.5797965120887347
2015-02-10,-1.4634095007389547
2015-02-11,-1.6131331727240992
2015-02-12,-1.501580992973658
2015-02-13,-1.5771576697511112
2015-02-17,-1.5045818543502394
2015-02-18,-1.3663837512535442
2015-02-19,-1.2192730254081319
2015-02-20,-1.1118554809517809
2015-02-23,-1.1034559541465052
2015-02-24,-1.0216809520838286
2015-02-25,-0.9683777994889652
2015-02-26,-0.9342996229549727
2015-02-27,-0.9180913961833643
2015-03-02,-0.9332650403565856
2015-03-03,-0.988694670507204
2015-03-04,-0.9992835623032789
2015-03-05,-0.9335894985862526
2015-03-06,-0.8951369190935037
2015-03-09,-1.3317967709760579
2015-03-10,-1.2443154109329972
2015-03-11,-1.5359073333171245
2015-03-12,-1.4275841258158164
2015-03-13,-1.4749209131955732
2015-03-16,-1.4299840038407052
2015-03-17,-1.5200424121852345
2015-03-18,-1.420774403383891
2015-03-19,-1.4743569472754352
2015-03-20,-1.391320150196409
2015-03-23,-1.3678142846288168
2015-03-24,-1.3195758013772554
2015-03-25,-1.2938799132183243
2015-03-26,-1.6620735782850886
2015-03-27,-1.5534792010252254
2015-03-30,-1.4717455500691077
2015-03-31,-1.5742415518778536
2015-04-01,-1.598835029798807
2015-04-02,-1.5302764610426396
2015-04-06,-1.4214285842841101
2015-04-07,-1.3579200583177087
2015-04-08,-1.2770536315666647
2015-04-09,-1.2184114648303477
2015-04-10,-1.078057671110289
2015-04-13,-1.0259797648482925
2015-04-14,-1.00324030138115
2015-04-15,-0.9415034734492354
2015-04-16,-0.9431215238030788
2015-04-17,-0.9049371325405118
2015-04-20,-1.3732102742443701
2015-04-21,-1.4908626278078088
2015-04-22,-1.3639808844812265
2015-04-23,-1.1945531870192525
