,Variance-Covariance
2013-10-17,-1.8287381410863939
2013-10-18,-1.8276416653601253
2013-10-21,-1.8275484893168343
2013-10-22,-1.8124989854300098
2013-10-23,-1.8113725112760795
2013-10-24,-1.8116841132891837
2013-10-25,-1.811745470766749
2013-10-28,-1.810711544689512
2013-10-29,-1.809200831653944
2013-10-30,-1.8085463453573518
2013-10-31,-1.8082851376348326
2013-11-01,-1.8087728707218433
2013-11-04,-1.8088700357199348
2013-11-05,-1.8059386842175515
2013-11-06,-1.8054646196440336
2013-11-07,-1.805688754673932
2013-11-08,-1.8048021517856265
2013-11-11,-1.8043593871525263
2013-11-12,-1.8019577544228158
2013-11-13,-1.8014478310727007
2013-11-14,-1.7929586472581567
2013-11-15,-1.7929109420693252
2013-11-18,-1.7913640332449727
2013-11-19,-1.7893122865614348
2013-11-20,-1.789669944807939
2013-11-21,-1.7894692971718396
2013-11-22,-1.785332776978512
2013-11-25,-1.7848155514700972
2013-11-26,-1.781960786449774
2013-11-27,-1.7787865965862635
2013-11-29,-1.7786005130960245
2013-12-02,-1.7786272382318542
2013-12-03,-1.7766686520971633
2013-12-04,-1.777204483965565
2013-12-05,-1.7756734000269039
2013-12-06,-1.7761955731789971
2013-12-09,-1.7757093380952436
2013-12-10,-1.7752967131484443
2013-12-11,-1.775944600114088
2013-12-12,-1.7777812186275503
2013-12-13,-1.7784040954534526
2013-12-16,-1.7783529056198515
2013-12-17,-1.772124615934666
2013-12-18,-1.770286317021739
2013-12-19,-1.7704136048976862
2013-12-20,-1.770890217945225
2013-12-23,-1.770891866764924
2013-12-24,-1.7604625644955498
2013-12-26,-1.7603505125670333
2013-12-27,-1.760357567454767
2013-12-30,-1.7596893641325053
2013-12-31,-1.7598670306607564
2014-01-02,-1.7599050436819703
2014-01-03,-1.7602471982686176
2014-01-06,-1.7607314654757384
2014-01-07,-1.753167721238303
2014-01-08,-1.752676244038131
2014-01-09,-1.747391706384161
2014-01-10,-1.7474355909936625
2014-01-13,-1.7474322417165664
2014-01-14,-1.749899002065201
2014-01-15,-1.7486133343261336
