,Historical
2014-10-15,-3.0143361361698195
2014-10-16,-3.0143361361698195
2014-10-17,-3.0143361361698195
2014-10-20,-3.0143361361698195
2014-10-21,-3.0143361361698195
2014-10-22,-3.0143361361698195
2014-10-23,-3.0143361361698195
2014-10-24,-3.0143361361698195
2014-10-27,-3.0143361361698195
2014-10-28,-3.0143361361698195
2014-10-29,-3.0143361361698195
2014-10-30,-3.0143361361698195
2014-10-31,-3.0143361361698195
2014-11-03,-3.0143361361698195
2014-11-04,-3.0143361361698195
2014-11-05,-3.0143361361698195
2014-11-06,-3.0143361361698195
2014-11-07,-2.9312426636332622
2014-11-10,-2.9312426636332622
2014-11-11,-2.9312426636332622
2014-11-12,-2.9312426636332622
2014-11-13,-2.9312426636332622
2014-11-14,-2.9312426636332622
2014-11-17,-2.9312426636332622
2014-11-18,-2.9312426636332622
2014-11-19,-2.9312426636332622
2014-11-20,-2.9312426636332622
2014-11-21,-2.8148156854938993
2014-11-24,-2.8148156854938993
2014-11-25,-2.8148156854938993
2014-11-26,-2.8148156854938993
2014-11-28,-2.8148156854938993
2014-12-01,-2.8148156854938993
2014-12-02,-2.8148156854938993
2014-12-03,-2.8148156854938993
2014-12-04,-2.8148156854938993
2014-12-05,-2.8148156854938993
2014-12-08,-2.6844873196219936
2014-12-09,-2.6844873196219936
2014-12-10,-2.6844873196219936
2014-12-11,-2.6844873196219936
2014-12-12,-2.6844873196219936
2014-12-15,-2.6844873196219936
2014-12-16,-2.6844873196219936
2014-12-17,-2.6844873196219936
2014-12-18,-2.6844873196219936
2014-12-19,-2.6844873196219936
2014-12-22,-2.6844873196219936
2014-12-23,-2.6844873196219936
2014-12-24,-2.6844873196219936
2014-12-26,-2.6844873196219936
2014-12-29,-2.6844873196219936
2014-12-30,-2.6844873196219936
2014-12-31,-2.6844873196219936
2015-01-02,-2.6634325796077496
2015-01-05,-2.6634325796077496
2015-01-06,-2.6634325796077496
2015-01-07,-2.6634325796077496
2015-01-08,-2.6634325796077496
2015-01-09,-2.6634325796077496
2015-01-12,-2.6634325796077496
2015-01-13,-2.6634325796077496
2015-01-14,-2.6634325796077496
2015-01-15,-2.6634325796077496
2015-01-16,-2.6634325796077496
2015-01-20,-2.6634325796077496
2015-01-21,-2.6202660008275656
2015-01-22,-2.6202660008275656
2015-01-23,-2.6202660008275656
2015-01-26,-2.6202660008275656
2015-01-27,-2.6202660008275656
2015-01-28,-2.6202660008275656
2015-01-29,-2.6202660008275656
2015-01-30,-2.6202660008275656
2015-02-02,-2.6202660008275656
2015-02-03,-2.6202660008275656
2015-02-04,-2.6202660008275656
2015-02-05,-2.6202660008275656
2015-02-06,-2.6202660008275656
2015-02-09,-2.6202660008275656
2015-02-10,-2.6202660008275656
2015-02-11,-2.6202660008275656
2015-02-12,-2.6202660008275656
2015-02-13,-2.6202660008275656
2015-02-17,-2.5955436372425735
2015-02-18,-2.5955436372425735
2015-02-19,-2.5955436372425735
2015-02-20,-2.5955436372425735
2015-02-23,-2.5955436372425735
2015-02-24,-2.5955436372425735
2015-02-25,-2.5955436372425735
2015-02-26,-2.5955436372425735
2015-02-27,-2.5955436372425735
2015-03-02,-2.5955436372425735
2015-03-03,-2.5955436372425735
2015-03-04,-2.5955436372425735
2015-03-05,-2.5955436372425735
2015-03-06,-2.5955436372425735
2015-03-09,-2.5955436372425735
2015-03-10,-2.5955436372425735
2015-03-11,-2.5955436372425735
2015-03-12,-2.5955436372425735
2015-03-13,-2.5955436372425735
2015-03-16,-2.5955436372425735
2015-03-17,-2.5955436372425735
2015-03-18,-2.5955436372425735
2015-03-19,-2.5955436372425735
2015-03-20,-2.5955436372425735
2015-03-23,-2.5955436372425735
2015-03-24,-2.5955436372425735
2015-03-25,-2.5955436372425735
2015-03-26,-2.5955436372425735
2015-03-27,-2.5955436372425735
2015-03-30,-2.5955436372425735
2015-03-31,-2.5955436372425735
2015-04-01,-2.5955436372425735
2015-04-02,-2.5955436372425735
2015-04-06,-2.5955436372425735
2015-04-07,-2.5955436372425735
2015-04-08,-2.5955436372425735
2015-04-09,-2.5955436372425735
2015-04-10,-2.5955436372425735
2015-04-13,-2.5955436372425735
2015-04-14,-2.5955436372425735
2015-04-15,-2.5955436372425735
2015-04-16,-2.5955436372425735
2015-04-17,-2.5955436372425735
2015-04-20,-2.5955436372425735
2015-04-21,-2.5955436372425735
2015-04-22,-2.5955436372425735
2015-04-23,-2.5955436372425735
2015-04-24,-2.5955436372425735
2015-04-27,-2.5955436372425735
2015-04-28,-2.5955436372425735
2015-04-29,-2.5955436372425735
2015-04-30,-2.5955436372425735
2015-05-01,-2.5955436372425735
2015-05-04,-2.5955436372425735
2015-05-05,-2.5955436372425735
2015-05-06,-2.5955436372425735
2015-05-07,-2.5955436372425735
2015-05-08,-2.5955436372425735
2015-05-11,-2.5955436372425735
2015-05-12,-2.5955436372425735
2015-05-13,-2.5955436372425735
2015-05-14,-2.5955436372425735
2015-05-15,-2.5955436372425735
2015-05-18,-2.5955436372425735
2015-05-19,-2.5955436372425735
2015-05-20,-2.5955436372425735
2015-05-21,-2.5955436372425735
2015-05-22,-2.5955436372425735
2015-05-26,-2.5955436372425735
2015-05-27,-2.5955436372425735
2015-05-28,-2.5955436372425735
2015-05-29,-2.5955436372425735
2015-06-01,-2.5955436372425735
2015-06-02,-2.5955436372425735
2015-06-03,-2.5955436372425735
2015-06-04,-2.5955436372425735
2015-06-05,-2.5955436372425735
2015-06-08,-2.5955436372425735
2015-06-09,-2.5955436372425735
2015-06-10,-2.5955436372425735
2015-06-11,-2.5955436372425735
2015-06-12,-2.5955436372425735
2015-06-15,-2.5955436372425735
2015-06-16,-2.5955436372425735
2015-06-17,-2.5955436372425735
2015-06-18,-2.5955436372425735
2015-06-19,-2.5955436372425735
2015-06-22,-2.5955436372425735
2015-06-23,-2.5955436372425735
2015-06-24,-2.5955436372425735
2015-06-25,-2.5955436372425735
2015-06-26,-2.5955436372425735
2015-06-29,-2.5955436372425735
2015-06-30,-2.5955436372425735
2015-07-01,-2.5955436372425735
2015-07-02,-2.5955436372425735
2015-07-06,-2.5955436372425735
2015-07-07,-2.5955436372425735
2015-07-08,-2.5955436372425735
2015-07-09,-2.5955436372425735
2015-07-10,-2.5955436372425735
2015-07-13,-2.5955436372425735
2015-07-14,-2.5955436372425735
2015-07-15,-2.5955436372425735
2015-07-16,-2.5955436372425735
2015-07-17,-2.5955436372425735
2015-07-20,-2.5955436372425735
2015-07-21,-2.5955436372425735
2015-07-22,-2.5955436372425735
2015-07-23,-2.5955436372425735
2015-07-24,-2.5955436372425735
2015-07-27,-2.5955436372425735
2015-07-28,-2.5955436372425735
2015-07-29,-2.5955436372425735
2015-07-30,-2.5955436372425735
2015-07-31,-2.5955436372425735
2015-08-03,-2.5955436372425735
2015-08-04,-2.5955436372425735
2015-08-05,-2.5955436372425735
2015-08-06,-2.5955436372425735
2015-08-07,-2.5955436372425735
2015-08-10,-2.5955436372425735
2015-08-11,-2.5955436372425735
2015-08-12,-2.5955436372425735
2015-08-13,-2.5955436372425735
2015-08-14,-2.5955436372425735
2015-08-17,-2.5955436372425735
2015-08-18,-2.5955436372425735
2015-08-19,-2.5955436372425735
2015-08-20,-2.5955436372425735
2015-08-21,-2.5955436372425735
2015-08-24,-2.6202660008275656
2015-08-25,-2.6634325796077496
2015-08-26,-2.6634325796077496
2015-08-27,-2.6634325796077496
2015-08-28,-2.6634325796077496
2015-08-31,-2.6634325796077496
2015-09-01,-2.6634325796077496
2015-09-02,-2.6844873196219936
2015-09-03,-2.6844873196219936
2015-09-04,-2.6844873196219936
2015-09-08,-2.6844873196219936
2015-09-09,-2.6844873196219936
2015-09-10,-2.6844873196219936
2015-09-11,-2.6844873196219936
2015-09-14,-2.6844873196219936
2015-09-15,-2.6844873196219936
2015-09-16,-2.6844873196219936
2015-09-17,-2.6844873196219936
2015-09-18,-2.6844873196219936
2015-09-21,-2.6844873196219936
2015-09-22,-2.6844873196219936
2015-09-23,-2.6844873196219936
2015-09-24,-2.6844873196219936
2015-09-25,-2.6844873196219936
2015-09-28,-2.6844873196219936
2015-09-29,-2.790722548589878
2015-09-30,-2.790722548589878
2015-10-01,-2.790722548589878
2015-10-02,-2.790722548589878
2015-10-05,-2.790722548589878
2015-10-06,-2.790722548589878
2015-10-07,-2.790722548589878
2015-10-08,-2.790722548589878
2015-10-09,-2.790722548589878
2015-10-12,-2.790722548589878
