,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian
2013-10-31,-3.111555632892665,-2.585480612260169,-2.1318713060057224,-1.6727814445862108,-1.6744109264464602,-1.6727814003764294,-1.629298363429554,-1.6893619745597954,-1.4515765439008856,-1.6799576397120903,-1.567181263081542,-1.639136261991995,-1.6869494708671149,-1.848804273098366,-1.8455542535792608
2013-11-01,-3.111555632892665,-2.5860097704088325,-2.0755304356644038,-1.6376145410266163,-1.6391610686395768,-1.6376136148371647,-1.5949563412606849,-1.653817567164798,-1.4207500655968377,-1.6444162599673744,-1.548354753127462,-1.6046510100149425,-1.651455700767166,-1.793644892872816,-1.7908093850663152
2013-11-04,-3.111555632892665,-2.5860925443911373,-2.014761620734069,-1.5778167141390167,-1.5792574976601408,-1.5778158801237216,-1.536524730321556,-1.5934310654540114,-1.3684164735267037,-1.5843302090045557,-1.4915904566862646,-1.5459763352223297,-1.591149403181766,-1.5781380896230828,-1.5753366970420213
2013-11-05,-3.111555632892665,-2.581006418628947,-1.9643268711773552,-1.5321156933797566,-1.5337506306042898,-1.5321242389354517,-1.4922258640489785,-1.547437066041383,-1.3287160478759443,-1.538725820206739,-1.448418142785046,-1.5012965588139575,-1.545214520537708,-1.814689286885241,-1.810031523196199
2013-11-06,-3.111555632892665,-2.580467115843704,-1.905320237928608,-1.4916710278985186,-1.493155216743628,-1.4916759604258276,-1.452554643397494,-1.5065889314595085,-1.293040110067033,-1.4980065273230052,-1.4099490520404634,-1.461513619029172,-1.5044176223752954,-1.7780076375417473,-1.7734036987378448
2013-11-07,-3.111555632892665,-2.5804584469035903,-1.8483852954004392,-1.4606476548541416,-1.462132666131222,-1.460651316371908,-1.4222902873131864,-1.475267084369706,-1.266012862785917,-1.466892349631521,-1.3706469906940222,-1.431130063388614,-1.473139772927569,-1.767210643769032,-1.7628539553273972
2013-11-08,-3.111555632892665,-2.5793053702864364,-2.0162659504774423,-1.886431264342043,-1.8881024919586649,-1.8864306794406416,-1.837944414481639,-1.9047365890775383,-1.6408550364907737,-1.8942597931666163,-1.7849714428819277,-1.849145070032273,-1.9020604756027792,-2.3272975062129,-2.3196480440189124
2013-11-11,-3.111555632892665,-2.57853861736584,-2.1251654309303443,-2.052733421993436,-2.054719725966452,-2.052731348362783,-2.0004098295812125,-2.072500734760424,-1.7870713587031186,-2.0611286391167285,-1.922373907332276,-2.012730902702612,-2.069622101407597,-2.5764715177107527,-2.5674429361418536
2013-11-12,-3.111555632892665,-2.5756362976096305,-2.0605719124147845,-1.9529775723360336,-1.954720579720341,-1.95297164564816,-1.903170243279352,-1.971646676431429,-1.699817177772574,-1.9608555613718872,-1.8327592585017465,-1.914911468311064,-1.968901380990772,-2.295076655588428,-2.289801586254305
2013-11-13,-3.111555632892665,-2.575052499664195,-1.998910824524657,-1.8716854707492188,-1.8733658292934676,-1.871678929389748,-1.8238558250240136,-1.8896109928750104,-1.6284225838055957,-1.87907472583154,-1.7703338892745617,-1.835130292392786,-1.8869748195590796,-2.2158133558985385,-2.209070029262499
2013-11-14,-3.111555632892665,-2.56446093523574,-2.0172139381847844,-1.8959402050922636,-1.8976167694458963,-1.8959389451207904,-1.84748223179326,-1.9140964065362565,-1.6498123799647328,-1.9034420731893684,-1.7934559273183006,-1.8588974805849976,-1.9114291838818167,-2.358690653848143,-2.3508767142034057
2013-11-15,-3.111555632892665,-2.564054135608321,-1.9648615476783704,-1.823667755202975,-1.825268157987912,-1.8236630755522931,-1.7768136571464015,-1.841216225254747,-1.5860102065392738,-1.8309631204280288,-1.7248196569817449,-1.7878570603867108,-1.838632874759584,-2.2194924610408258,-2.2126436486359173
2013-11-18,-3.111555632892665,-2.5623116108533828,-1.9170718284074637,-1.7568803183107564,-1.758444203591364,-1.7568730285966605,-1.7116787376299176,-1.7738218645313428,-1.5273417922944208,-1.7641223641194217,-1.6613818169469914,-1.7223220017720766,-1.7713289118660571,-2.0900520705113728,-2.084350310876826
2013-11-19,-3.111555632892665,-2.5580673613176987,-1.8952478977612344,-1.7737850831797937,-1.7753312266282415,-1.7737905962738594,-1.728278235747787,-1.7908596846102882,-1.5434522384489506,-1.7807167483703008,-1.6780971370499067,-1.7389569173252737,-1.788352421573568,-2.159450464897315,-2.1535888467088866
2013-11-20,-3.111555632892665,-2.558463497053528,-1.8467956284510236,-1.72676874115435,-1.7282745901519805,-1.7267708207097567,-1.6824220761095432,-1.743395273857599,-1.502554579939444,-1.7336572906799528,-1.633630703799805,-1.6928518856226842,-1.740953053121264,-2.0669598079861697,-2.0617753605586286
2013-11-21,-3.111555632892665,-2.558229991834115,-1.799397375551377,-1.6850136704855738,-1.6864844479936607,-1.6850128957131567,-1.6415263498166903,-1.7012906084105717,-1.4654722146766543,-1.6919204117474438,-1.581134548431528,-1.6518003486350796,-1.698899122406212,-1.9975482507307891,-1.9927410892691075
2013-11-22,-3.111555632892665,-2.5534049529676235,-1.8373722054454773,-1.7450056877576066,-1.7464977067170635,-1.7449986912959785,-1.700040423232834,-1.7618084578379385,-1.5183580988000986,-1.7519176083780994,-1.633919819260551,-1.7106582651464264,-1.759340029705667,-2.1764006436038343,-2.170578463130017
2013-11-25,-3.111555632892665,-2.552929154639728,-1.806815391191235,-1.7011943015898958,-1.702659171632307,-1.70118831131965,-1.6572184121805291,-1.7176084965645002,-1.4797574552457993,-1.7080147533129133,-1.5925632449725855,-1.6676626995368975,-1.7151990185587906,-2.105974616096595,-2.100470311156071
2013-11-26,-3.111555632892665,-2.5477884700658344,-1.751838299195288,-1.6404594117912417,-1.6418948285773547,-1.6404674225019846,-1.597987327648795,-1.6563676142094308,-1.426421364248049,-1.6469141227054434,-1.539124651392248,-1.6080544161510957,-1.6540336513723632,-1.9612222341581664,-1.956512928701542
2013-11-27,-3.111555632892665,-2.5439599705950364,-1.7068696919995687,-1.5932378609445712,-1.5946639324203955,-1.5932434858859073,-1.5519200951066532,-1.608741390420365,-1.3852332497120492,-1.5993608067666558,-1.4951324205755234,-1.5617048835494225,-1.6064612466905133,-1.9009687835089848,-1.8965656365187409
2013-11-29,-3.111555632892665,-2.5433679943757945,-1.67541230672562,-1.5597602192012885,-1.561162811429541,-1.5597628040883424,-1.519304762218503,-1.574943567283964,-1.356494549470638,-1.5657147023868074,-1.4615534048084184,-1.5289359000429232,-1.572709214918791,-1.8870906086837709,-1.8826983941280508
2013-12-02,-3.111555632892665,-2.54298019250258,-1.6265457559521737,-1.5130293693477697,-1.5143885273149038,-1.5130283509564475,-1.4736016490937645,-1.5278463657584835,-1.315307419083505,-1.518833011062806,-1.4224624112029434,-1.4829831392178678,-1.5256627338967983,-1.826173599679132,-1.8219118122959368
2013-12-03,-3.111555632892665,-2.539078611205273,-1.5872830834124665,-1.4980360614521198,-1.499442151206087,-1.4980636870036326,-1.4590925694083492,-1.512782015675957,-1.3021777669753154,-1.504008585181987,-1.41708977159152,-1.468302830267649,-1.5106139341515874,-1.7825325399948837,-1.7779390210192898
2013-12-04,-3.111555632892665,-2.539624647802762,-1.5460226946337994,-1.473494698451561,-1.4748687523208373,-1.473514310439913,-1.4350073328077222,-1.4880445923619976,-1.2800128715072177,-1.4792737188669876,-1.3803524862128744,-1.4441056241612555,-1.4859031960158948,-1.7925102450889718,-1.788151311094865
2013-12-05,-3.111555632892665,-2.537799956308552,-1.4992559333713216,-1.4321113761592947,-1.4334278443799622,-1.4321254739291722,-1.3946306626307954,-1.4462729876601683,-1.2434599074193078,-1.4376850950308104,-1.3541837321629508,-1.40347886580583,-1.4441848648737368,-1.702713032673212,-1.6983167166175972
2013-12-06,-3.111555632892665,-2.537989519865408,-1.4621457499175723,-1.4241073309047856,-1.425409502775706,-1.4241174636442273,-1.386583983544154,-1.4382834205707955,-1.235450700692113,-1.4295655339149698,-1.3463594413053397,-1.395424648400189,-1.4361926671254923,-1.755768139327254,-1.751414669228188
2013-12-09,-3.111555632892665,-2.5376900149946584,-1.5116922858102024,-1.5211115057552265,-1.5225047818773223,-1.5211173004723375,-1.480774250410116,-1.536390768808257,-1.3180219295760571,-1.527276408263004,-1.437777237373252,-1.4901715889954066,-1.5341340249797517,-1.924672292947121,-1.9199579408328864
2013-12-10,-3.111555632892665,-2.5372554019198903,-1.4687406352459318,-1.4670867659119418,-1.4684458005419103,-1.4670872520722502,-1.4281540195464146,-1.4818550637030246,-1.2707895046846172,-1.473264130562173,-1.3865323388526851,-1.4371827264636443,-1.479676456353371,-1.819260455806741,-1.8149117772549848
2013-12-11,-3.111555632892665,-2.537837869881952,-1.4317334426366533,-1.4436132904723848,-1.444970127938061,-1.4436096905055198,-1.4053532256404904,-1.4581443112833,-1.250336134570854,-1.4500556570168095,-1.3541526126245702,-1.4141971027478617,-1.4560029179929597,-1.800036349949288,-1.7955446403271385
2013-12-12,-3.111555632892665,-2.5401040715283885,-1.5659482416271535,-1.7203688625826383,-1.7219315409434677,-1.7203606137949758,-1.67523928460708,-1.737400814628711,-1.493080229137389,-1.7279753138230547,-1.6139626480329474,-1.68576857684007,-1.7348871866850466,-2.0431399141737128,-2.0390907599391404
2013-12-13,-3.111555632892665,-2.540688900007622,-1.5252621707087617,-1.6713162901410346,-1.672818478426547,-1.6713054078162952,-1.6272629113463364,-1.6879058547320152,-1.4499736195916897,-1.678729879209408,-1.565119214219585,-1.637580454828386,-1.6854557520697515,-2.047560583771069,-2.042087905751093
2013-12-16,-3.111555632892665,-2.540635964325707,-1.4788776619215445,-1.6044837782703103,-1.6059339311313543,-1.60447165352538,-1.5621934528850734,-1.6204368491437575,-1.3916032339533089,-1.6115509381358248,-1.516998548504462,-1.5720450151388214,-1.6180835100651374,-1.9134175042823496,-1.9087149399516767
2013-12-17,-3.111555632892665,-2.532932317981324,-1.4838444919345892,-1.5986158320812294,-1.600070730575042,-1.5985968679316285,-1.5564865115035886,-1.6145619893135006,-1.3863258908434386,-1.6057099431498936,-1.5114520076126288,-1.5662416225846023,-1.612210718335645,-1.94279522455096,-1.937790084402525
2013-12-18,-3.111555632892665,-2.530686993956349,-1.4444855405558148,-1.5579364085591338,-1.5593377316665933,-1.557909658440505,-1.5167415946554943,-1.5735078497849166,-1.350617485557881,-1.5647220697813726,-1.460696502052471,-1.5262815572586708,-1.5712108415569208,-1.867069531646536,-1.861770491901615
