k,m0,sigma,b,gamma_k,log_L
1,1.61626,1.37362,5.0,0.023603,-2392.7227
2,1.521205,1.333829,13.765327,0.114317,-2365.3708
3,1.494313,1.324423,21.162623,0.91342,-2362.4387
4,1.415125,1.279911,6.902353,0.900102,-2365.5571
5,1.350111,1.275468,2.298729,0.158735,-2364.2406
6,1.317337,1.209485,1.868149,0.156968,-2364.0265
7,1.290922,1.189034,1.691128,0.169232,-2364.0393
